ETF代碼,初始資金,結束資金,交易次數,總報酬率(%),勝率(%),平均每筆報酬(%),最大單次虧損(%),年化報酬率(%),最大回撤(%)
00757,100000,691366,135,591.37,88.15,19.66,-20.22,42.9,-6.37
00052,100000,340293,123,240.29,68.29,13.61,-14.35,25.37,-11.01
00713,100000,301787,140,201.79,84.29,9.96,-5.9,22.62,-2.25
00830,100000,364738,119,264.74,93.28,12.55,-9.18,26.99,-1.28
00733,100000,484929,138,384.93%,76.81%,17.97%,-18.58%,33.84%,-11.43%
00850,100000,245229,109,145.23%,71.56%,10.10%,-8.48%,18.01%,-5.15%
00692,100000,239710,125,139.71%,70.40%,9.04%,-12.45%,17.52%,-9.23%
0050,100000,195545,120,95.55%,67.50%,6.55%,-11.19%,13.18%,-7.98%
00662,100000,380109,132,280.11%,90.15%,12.25%,-16.63%,27.96%,-3.88%
00646,100000,249346,132,149.35%,90.91%,7.89%,-18.60%,18.37%,-1.86%
